ID,REGISTERED_AT,MAGNITUDE,TSUNAMI,SIG,NST,DMIN,RMS,GAP
71462668,2024-10-15 14:00:15.990 Z,3.3,0,168,8,1.185,0.18,288
74498941,2024-10-13 22:22:31.770 Z,1.7,0,44,45,0.03664,0.25999999,70
74498981,2024-10-13 22:52:22.790 Z,2.13,0,70,17,0.05012,0.100000001,127
74498986,2024-10-13 22:54:35.320 Z,1.8,0,50,20,0.05005,0.119999997,150
74499006,2024-10-13 23:07:38.720 Z,2.18,0,73,43,0.02122,0.189999998,174
74499011,2024-10-13 23:14:27.380 Z,1.97,0,60,33,0.04357,0.129999995,117
74499031,2024-10-13 23:24:14.400 Z,2.2,0,74,45,0.03234,0.129999995,83
74499136,2024-10-14 00:43:10.770 Z,2.02,0,63,35,0.03871,0.150000006,125
74499186,2024-10-14 02:18:23.470 Z,3.15,0,153,62,0.03975,0.140000001,65
74499211,2024-10-14 02:34:53.480 Z,1.84,0,52,27,0.0321,0.159999996,156
74499501,2024-10-14 06:50:09.600 Z,2.15,0,71,42,0.04048,0.150000006,131
74499676,2024-10-14 10:58:30.060 Z,2,0,62,44,0.03748,0.159999996,108
74499686,2024-10-14 11:27:46.270 Z,2.03,0,63,40,0.0491,0.319999993,60
74499756,2024-10-14 13:10:32.840 Z,1.75,0,47,45,0.02846,0.150000006,174
74499906,2024-10-14 17:55:51.050 Z,2.06,0,65,37,0.03729,0.129999995,151
74500636,2024-10-15 15:38:43.130 Z,1.74,0,47,7,0.01593,0.0599999987,110
75074046,2024-10-14 00:30:56.210 Z,0.72,0,8,7,0.01173,0.01,121
75074051,2024-10-14 01:07:33.020 Z,0.94,0,14,8,0.009202,0.08,97
75074071,2024-10-14 02:57:22.600 Z,0.77,0,9,8,0.01652,0.02,100
75074076,2024-10-14 03:00:25.540 Z,0.72,0,8,9,0.00899,0.03,77
75074081,2024-10-14 03:12:22.680 Z,0.42,0,3,7,0.007163,0.04,114
75074096,2024-10-14 04:12:09.420 Z,0.74,0,8,12,0.007744,0.02,69
75074111,2024-10-14 05:12:53.990 Z,0.95,0,14,7,0.0269,0.02,151
75074121,2024-10-14 06:29:11.220 Z,0.75,0,9,14,0.009189,0.02,83
75074136,2024-10-14 07:39:25.160 Z,1.04,0,17,19,0.007784,0.02,48
75074141,2024-10-14 07:57:02.080 Z,0.84,0,11,17,0.007468,0.02,80
75074156,2024-10-14 12:50:03.770 Z,1.06,0,17,13,0.01062,0.03,56
75074161,2024-10-14 13:13:12.290 Z,1.1,0,19,20,0.004482,0.03,69
75074176,2024-10-14 14:28:37.890 Z,1.03,0,16,18,0.01607,0.02,56
75074186,2024-10-14 15:10:16.070 Z,0.45,0,3,7,0.01335,0,126
75074211,2024-10-14 16:42:35.730 Z,1.03,0,16,16,0.01453,0.03,83
75074216,2024-10-14 16:52:06.260 Z,1.26,0,24,9,0.08739,0.14,113
75074521,2024-10-15 13:04:29.900 Z,0.71,0,8,14,0.009287,0.02,61
75074531,2024-10-15 13:41:07.750 Z,0.77,0,9,10,0.01047,0.01,87
75074541,2024-10-15 14:19:31.160 Z,1.12,0,19,19,0.005579,0.03,63
75074546,2024-10-15 14:40:49.310 Z,0.76,0,9,15,0.001668,0.02,62
75074571,2024-10-15 15:03:38.280 Z,2.86,0,126,36,0.1886,0.2,47
75074576,2024-10-15 15:06:08.600 Z,2.59,0,103,29,0.1886,0.17,63
75074581,2024-10-15 15:17:34.610 Z,1.87,0,54,35,0.008985,0.04,79
75074586,2024-10-15 15:37:00.310 Z,2.12,0,69,12,0.06683,0.08,306
75074591,2024-10-15 15:46:09.920 Z,2.47,0,94,32,0.05394,0.14,134
75075531,2024-10-17 18:45:52.710 Z,1.02,0,16,24,0.006911,0.01,52
80084536,2024-10-15 15:33:06.110 Z,1.83,0,52,21,0.07372,0.13,55
90063498,2024-10-14 17:18:03.860 Z,1.66,0,42,14,0.1242,0.18,134
